State,Population,Strict_Handgun,Strict_Both
Alabama,4888949,0,0
Alaska,738068,0,1
Arizona,7123898,0,1
Arkansas,3020327,0,1
California,39776830,1,1
Colorado,5684203,0,0
Connecticut,3588683,1,1
Delaware,971180,1,1
District of Columbia,703608,1,1
Florida,21312211,0,1
Georgia,10545138,0,0
Hawaii,1426393,1,1
Idaho,1753860,0,1
Illinois,12768320,1,1
Indiana,6699629,0,0
Iowa,3160553,1,1
Kansas,2918515,0,0
Kentucky,4472265,0,0
Louisiana,4682509,0,1
Maine,1341582,0,1
Maryland,6079602,1,1
Massachusetts,6895917,1,1
Michigan,9991177,0,1
Minnesota,5628162,0,1
Mississippi,2982785,0,0
Missouri,6135888,0,1
Montana,1062330,0,0
Nebraska,1932549,1,1
Nevada,3056824,0,0
New Hampshire,1350575,0,0
New Jersey,9032872,1,1
New Mexico,2090708,0,0
New York,19862512,1,0
North Carolina,10390149,0,0
North Dakota,755238,0,0
Ohio,11694664,1,1
Oklahoma,3940521,0,1
Oregon,4199563,0,1
Pennsylvania,12823989,0,1
Rhode Island,1061712,1,1
South Carolina,5088916,0,0
South Dakota,877790,0,0
Tennessee,6782564,0,0
Texas,28704330,0,1
Utah,3159345,0,1
Vermont,623960,0,1
Virginia,8525660,0,0
Washington,7530552,0,0
West Virginia,1803077,0,0
Wisconsin,5818049,0,1
Wyoming,573720,1,1
